probe,cluster,cluster_name,start_step,end_step,duration_steps,centroid_x,centroid_y,centroid_z,rep_frame_pdb
3,2,Pocket_2,2749,2774,26,7.2274978346368774,4.035651290130367,-2.84825655270019,/mnt/c/Users/Admin/Documents/Documents/Misc/FBDD project/4MZI_5ns_testA_20251205/gmx_run/post_processing/cv_plots/probe3_cluster2_repframe_3156.pdb
3,2,Pocket_2,2778,3078,301,7.2274978346368774,4.035651290130367,-2.84825655270019,/mnt/c/Users/Admin/Documents/Documents/Misc/FBDD project/4MZI_5ns_testA_20251205/gmx_run/post_processing/cv_plots/probe3_cluster2_repframe_3156.pdb
3,2,Pocket_2,3083,3611,529,7.2274978346368774,4.035651290130367,-2.84825655270019,/mnt/c/Users/Admin/Documents/Documents/Misc/FBDD project/4MZI_5ns_testA_20251205/gmx_run/post_processing/cv_plots/probe3_cluster2_repframe_3156.pdb
3,0,Pocket_0,3613,3617,5,7.197561963576158,3.8299608916745513,5.179530384578999,/mnt/c/Users/Admin/Documents/Documents/Misc/FBDD project/4MZI_5ns_testA_20251205/gmx_run/post_processing/cv_plots/probe3_cluster0_repframe_832.pdb
3,2,Pocket_2,3619,3708,90,7.2274978346368774,4.035651290130367,-2.84825655270019,/mnt/c/Users/Admin/Documents/Documents/Misc/FBDD project/4MZI_5ns_testA_20251205/gmx_run/post_processing/cv_plots/probe3_cluster2_repframe_3156.pdb
3,0,Pocket_0,3710,3849,140,7.197561963576158,3.8299608916745513,5.179530384578999,/mnt/c/Users/Admin/Documents/Documents/Misc/FBDD project/4MZI_5ns_testA_20251205/gmx_run/post_processing/cv_plots/probe3_cluster0_repframe_832.pdb
3,0,Pocket_0,3853,3862,10,7.197561963576158,3.8299608916745513,5.179530384578999,/mnt/c/Users/Admin/Documents/Documents/Misc/FBDD project/4MZI_5ns_testA_20251205/gmx_run/post_processing/cv_plots/probe3_cluster0_repframe_832.pdb
3,2,Pocket_2,3864,3879,16,7.2274978346368774,4.035651290130367,-2.84825655270019,/mnt/c/Users/Admin/Documents/Documents/Misc/FBDD project/4MZI_5ns_testA_20251205/gmx_run/post_processing/cv_plots/probe3_cluster2_repframe_3156.pdb
3,2,Pocket_2,3883,3895,13,7.2274978346368774,4.035651290130367,-2.84825655270019,/mnt/c/Users/Admin/Documents/Documents/Misc/FBDD project/4MZI_5ns_testA_20251205/gmx_run/post_processing/cv_plots/probe3_cluster2_repframe_3156.pdb
3,0,Pocket_0,3897,3899,3,7.197561963576158,3.8299608916745513,5.179530384578999,/mnt/c/Users/Admin/Documents/Documents/Misc/FBDD project/4MZI_5ns_testA_20251205/gmx_run/post_processing/cv_plots/probe3_cluster0_repframe_832.pdb
3,2,Pocket_2,3901,3905,5,7.2274978346368774,4.035651290130367,-2.84825655270019,/mnt/c/Users/Admin/Documents/Documents/Misc/FBDD project/4MZI_5ns_testA_20251205/gmx_run/post_processing/cv_plots/probe3_cluster2_repframe_3156.pdb
3,2,Pocket_2,3911,3916,6,7.2274978346368774,4.035651290130367,-2.84825655270019,/mnt/c/Users/Admin/Documents/Documents/Misc/FBDD project/4MZI_5ns_testA_20251205/gmx_run/post_processing/cv_plots/probe3_cluster2_repframe_3156.pdb
3,2,Pocket_2,3918,4056,139,7.2274978346368774,4.035651290130367,-2.84825655270019,/mnt/c/Users/Admin/Documents/Documents/Misc/FBDD project/4MZI_5ns_testA_20251205/gmx_run/post_processing/cv_plots/probe3_cluster2_repframe_3156.pdb
3,2,Pocket_2,4058,4060,3,7.2274978346368774,4.035651290130367,-2.84825655270019,/mnt/c/Users/Admin/Documents/Documents/Misc/FBDD project/4MZI_5ns_testA_20251205/gmx_run/post_processing/cv_plots/probe3_cluster2_repframe_3156.pdb
3,5,Pocket_5,4065,4068,4,-1.8823677142857143,3.741961428571429,-3.413061857142857,/mnt/c/Users/Admin/Documents/Documents/Misc/FBDD project/4MZI_5ns_testA_20251205/gmx_run/post_processing/cv_plots/probe3_cluster5_repframe_4064.pdb
3,2,Pocket_2,4070,4136,67,7.2274978346368774,4.035651290130367,-2.84825655270019,/mnt/c/Users/Admin/Documents/Documents/Misc/FBDD project/4MZI_5ns_testA_20251205/gmx_run/post_processing/cv_plots/probe3_cluster2_repframe_3156.pdb
3,2,Pocket_2,4138,4140,3,7.2274978346368774,4.035651290130367,-2.84825655270019,/mnt/c/Users/Admin/Documents/Documents/Misc/FBDD project/4MZI_5ns_testA_20251205/gmx_run/post_processing/cv_plots/probe3_cluster2_repframe_3156.pdb
3,0,Pocket_0,4155,4158,4,7.197561963576158,3.8299608916745513,5.179530384578999,/mnt/c/Users/Admin/Documents/Documents/Misc/FBDD project/4MZI_5ns_testA_20251205/gmx_run/post_processing/cv_plots/probe3_cluster0_repframe_832.pdb
3,2,Pocket_2,4160,4162,3,7.2274978346368774,4.035651290130367,-2.84825655270019,/mnt/c/Users/Admin/Documents/Documents/Misc/FBDD project/4MZI_5ns_testA_20251205/gmx_run/post_processing/cv_plots/probe3_cluster2_repframe_3156.pdb
3,2,Pocket_2,4167,4169,3,7.2274978346368774,4.035651290130367,-2.84825655270019,/mnt/c/Users/Admin/Documents/Documents/Misc/FBDD project/4MZI_5ns_testA_20251205/gmx_run/post_processing/cv_plots/probe3_cluster2_repframe_3156.pdb
3,2,Pocket_2,4171,4213,43,7.2274978346368774,4.035651290130367,-2.84825655270019,/mnt/c/Users/Admin/Documents/Documents/Misc/FBDD project/4MZI_5ns_testA_20251205/gmx_run/post_processing/cv_plots/probe3_cluster2_repframe_3156.pdb
3,0,Pocket_0,4217,4225,9,7.197561963576158,3.8299608916745513,5.179530384578999,/mnt/c/Users/Admin/Documents/Documents/Misc/FBDD project/4MZI_5ns_testA_20251205/gmx_run/post_processing/cv_plots/probe3_cluster0_repframe_832.pdb
3,2,Pocket_2,4227,4470,244,7.2274978346368774,4.035651290130367,-2.84825655270019,/mnt/c/Users/Admin/Documents/Documents/Misc/FBDD project/4MZI_5ns_testA_20251205/gmx_run/post_processing/cv_plots/probe3_cluster2_repframe_3156.pdb
